id;adr
1003703092;" м.Ів-Франк,вул.Деповська,97 гот-рест.""Станісл.двір"
1003824807; м.Новояворівськ С Бандери 38
1004004027; с.Лиман, пл.Леніна, магазин
1009315412;"Звпоріжжя ул.Гудыменко,5 м-н ""Пятачок"""
1009317516;"Звпоріжжя ул.Грязнова,45 шатер ""Чернигов"""
1010602783; с.Есмань, вул.Миру, буд.4/2
1011103625; с.Вишневе, Першотравнева, будинок № 2
100020000015515;" с. Счастливое, пер. Надежды, 1 _ ""КОЛО 1,5"""
100020000015560;" м.Київ, Дарницький р-н, вул.Декабристів, 2А(літ.""Б"")"
100020000015828; с.Мартусівка, вул.Бориспільська, буд.6
100030000052221;" М. КИЇВ, ВУЛ. ГАРМАТНА, БУД. 26/2 КОНЦЕРТНА ПЛОЩАДКА ""VOLUME CLUB"""
100030000052372;" М. КИЇВ, ВУЛ.САКСАГАНСЬКОГО, 57-А, КАФЕ ""МУСАФІР"""